rank,State,Pop,Growth,Pop2021,Pop2010,growthSince2010,Percent,density
CA,California,39664128,0.0013,39613493,37319502,0.0628,163695,254.6179
TX,Texas,30097526,0.0124,29730311,25241971,0.1924,268596,115.2138
FL,Florida,22177997,0.0106,21944577,18845537,0.1768,65758,413.5757
NY,New York,19223191,-0.0040,19299981,19399878,-0.0091,54555,407.9105
PA,Pennsylvania,12805190,0.0001,12804123,12711160,0.0074,46054,286.1943
IL,Illinois,12518071,-0.0041,12569321,12840503,-0.0251,57914,225.4736
OH,Ohio,11727377,0.0011,11714618,11539336,0.0163,44826,287.0066
GA,Georgia,10936299,0.0098,10830007,9711881,0.1261,59425,190.1535
NC,North Carolina,10807491,0.0099,10701022,9574323,0.1288,53819,222.2940
MI,Michigan,9995212,0.0003,9992427,9877510,0.0119,96714,176.7844
NJ,New Jersey,8870685,-0.0004,8874520,8799446,0.0081,8723,1206.2395
VA,Virginia,8638218,0.0040,8603985,8023699,0.0766,42775,218.7444
WA,Washington,7887965,0.0117,7796941,6742830,0.1698,71298,118.6945
AZ,Arizona,7640796,0.0160,7520103,6407172,0.1925,113990,67.2641
TN,Tennessee,7001803,0.0083,6944260,6355311,0.1017,42114,169.8024
MA,Massachusetts,6922107,0.0014,6912239,6566307,0.0542,10554,887.4496
IN,Indiana,6842385,0.0054,6805663,6490432,0.0542,36420,190.9894
MO,Missouri,6184843,0.0026,6169038,5995974,0.0315,69707,89.9718
MD,Maryland,6075314,0.0016,6065436,5788645,0.0495,12406,625.8694
CO,Colorado,5961083,0.0114,5893634,5047349,0.1810,104094,57.5161
WI,Wisconsin,5867518,0.0026,5852490,5690475,0.0311,65496,108.3407
MN,Minnesota,5739781,0.0059,5706398,5310828,0.0808,86936,72.0834
SC,South Carolina,5342388,0.0122,5277830,4635649,0.1525,32020,177.7182
AL,Alabama,4949697,0.0031,4934193,4785437,0.0343,52420,97.7332
LA,Louisiana,4616106,-0.0024,4627002,4544532,0.0157,52378,106.8444
KY,Kentucky,4487233,0.0015,4480713,4348181,0.0320,40408,113.6411
OR,Oregon,4325290,0.0084,4289439,3837491,0.1271,98379,45.0607
OK,Oklahoma,4007179,0.0042,3990443,3759944,0.0658,69899,58.4179
CT,Connecticut,3546588,-0.0018,3552821,3579114,-0.0091,5543,732.4634
UT,Utah,3363182,0.0158,3310774,2775332,0.2118,84897,40.9296
NV,Nevada,3238601,0.0166,3185786,2702405,0.1984,110572,29.5006
IA,Iowa,3174426,0.0020,3167974,3050745,0.0405,56273,56.8313
AR,Arkansas,3042017,0.0027,3033946,2921964,0.0411,53179,58.4610
MS,Mississippi,2961536,-0.0016,2966407,2970548,-0.0030,48432,63.1148
KS,Kansas,2919179,0.0007,2917224,2858190,0.0213,82278,35.7047
NM,New Mexico,2109093,0.0019,2105005,2064552,0.0216,121590,17.3877
NE,Nebraska,1960790,0.0045,1951996,1829542,0.0717,77348,25.5231
ID,Idaho,1896652,0.0196,1860123,1570746,0.2075,83569,22.9499
WV,West Virginia,1755715,-0.0069,1767859,1854239,-0.0531,24230,73.0391
HI,Hawaii,1401709,-0.0034,1406430,1363963,0.0277,10932,218.2328
NH,New Hampshire,1378449,0.0046,1372203,1316762,0.0468,9349,153.9650
ME,Maine,1359677,0.0038,1354522,1327629,0.0241,35380,44.0838
MT,Montana,1093117,0.0075,1085004,990697,0.1034,147040,7.5105
RI,Rhode Island,1062583,0.0010,1061509,1053959,0.0082,1545,1027.6431
DE,Delaware,998619,0.0084,990334,899593,0.1101,2489,512.3751
SD,South Dakota,902542,0.0066,896581,816166,0.1058,77116,11.9052
ND,North Dakota,774008,0.0052,770026,674715,0.1472,70698,11.2173
AK,Alaska,720763,-0.0050,724357,713910,0.0096,665384,1.2631
VT,Vermont,622882,-0.0006,623251,625879,-0.0048,9616,67.5797
WY,Wyoming,582233,0.0020,581075,564487,0.0314,97813,5.9967