State,Name,Pop2022,Pop2021,Pop2010,TotalArea,LandArea
AK,Alaska,720763,724357,713910,665384,570640.95
AL,Alabama,4949697,4934193,4785437,52420,50645.33
AR,Arkansas,3042017,3033946,2921964,53179,52035.48
AZ,Arizona,7640796,7520103,6407172,113990,113594.08
CA,California,39664128,39613493,37319502,163695,155779.22
CO,Colorado,5961083,5893634,5047349,104094,103641.89
CT,Connecticut,3546588,3552821,3579114,5543,4842.36
DE,Delaware,998619,990334,899593,2489,1948.54
FL,Florida,22177997,21944577,18845537,65758,53624.76
GA,Georgia,10936299,10830007,9711881,59425,57513.49
HI,Hawaii,1401709,1406430,1363963,10932,6422.63
IA,Iowa,3174426,3167974,3050745,56273,55857.13
ID,Idaho,1896652,1860123,1570746,83569,82643.12
IL,Illinois,12518071,12569321,12840503,57914,55518.93
IN,Indiana,6842385,6805663,6490432,36420,35826.11
KS,Kansas,2919179,2917224,2858190,82278,81758.72
KY,Kentucky,4487233,4480713,4348181,40408,39486.34
LA,Louisiana,4616106,4627002,4544532,52378,43293.90
MA,Massachusetts,6922107,6912239,6566307,10554,7800.06
MD,Maryland,6075314,6065436,5788645,12406,9707.24
ME,Maine,1359677,1354522,1327629,35380,30842.92
MI,Michigan,9995212,9992427,9877510,96714,56538.90
MN,Minnesota,5739781,5706398,5310828,86936,79626.74
MO,Missouri,6184843,6169038,5995974,69707,68741.52
MS,Mississippi,2961536,2966407,2970548,48432,43923.27
MT,Montana,1093117,1085004,990697,147040,145545.80
NC,North Carolina,10807491,10701022,9574323,53819,48617.91
ND,North Dakota,774008,770026,674715,70698,69000.80
NE,Nebraska,1960790,1951996,1829542,77348,76824.17
NH,New Hampshire,1378449,1372203,1316762,9349,8952.65
NJ,New Jersey,8870685,8874520,8799446,8723,7354.22
NM,New Mexico,2109093,2105005,2064552,121590,121298.15
NV,Nevada,3238601,3185786,2702405,110572,109781.18
NY,New York,19223191,19299981,19399878,54555,47126.40
OH,Ohio,11727377,11714618,11539336,44826,40860.69
OK,Oklahoma,4007179,3990443,3759944,69899,68594.92
OR,Oregon,4325290,4289439,3837491,98379,95988.01
PA,Pennsylvania,12805190,12804123,12711160,46054,44742.7
RI,Rhode Island,1062583,1061509,1053959,1545,1033.81
SC,South Carolina,5342388,5277830,4635649,32020,30060.70
SD,South Dakota,902542,896581,816166,77116,75811.00
TN,Tennessee,7001803,6944260,6355311,42114,41234.90
TX,Texas,30097526,29730311,25241971,268596,261231.71
UT,Utah,3363182,3310774,2775332,84897,82169.62
VA,Virginia,8638218,8603985,8023699,42775,39490.09
VT,Vermont,622882,623251,625879,9616,9216.66
WA,Washington,7887965,7796941,6742830,71298,66455.52
WI,Wisconsin,5867518,5852490,5690475,65496,54157.80
WV,West Virginia,1755715,1767859,1854239,24230,24038.21
WY,Wyoming,582233,581075,564487,97813,97093.14